Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	bcov_alpha.s:level1	bcov_s.s:level1	frequencies.s:level1.1	frequencies.s:level1.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
47	-1962.2700141836228	-1911.5421601681687	-50.7278540154541	-260.5605266441458	-1006.2033286295696	-561.8920264447538	-82.8862784496996	26.523218055517017	0.5606216388604923	1.0253301240257746	1.2779175462345522	0.4885980961890593	0.0037599017308054265	0.24782700888921463	0.7742207352245412	0.2257792647754601	0.09100765413029654	-45.05251566571858	0.20360468824018305	0.520706791383327	0.12563613253675365	35.53933231422738	1.0	-3.891820298110627	5.300000000000345	
48	-1957.0118589251783	-1911.1265302778734	-45.88532864730489	-260.0219724940915	-1008.353948774352	-562.044674337908	-80.7059346715219	20.53479637650622	0.5141483397115324	1.056409339693402	1.254998839146615	0.48479492464000173	0.00496095506948838	0.20895401738395908	0.779414219669799	0.22058578033020226	0.10056201086491462	-40.375963502307975	0.32758130474430797	0.16385228795961976	0.20287168304697556	22.381422465192724	1.0	-3.891820298110627	5.300000000000352	
49	-1957.0118589251783	-1911.1265302778734	-45.88532864730489	-260.0219724940915	-1008.353948774352	-562.044674337908	-80.7059346715219	20.53479637650622	0.5141483397115324	1.056409339693402	1.254998839146615	0.48479492464000173	0.00496095506948838	0.20895401738395908	0.779414219669799	0.22058578033020226	0.10056201086491462	-40.375963502307975	0.32758130474430797	0.16385228795961976	0.20287168304697556	22.381422465192724	1.0	-3.891820298110627	5.300000000000352	
50	-1964.5165449548706	-1910.2606706696301	-54.25587428524054	-260.9031486961179	-1011.2482292487267	-557.2562109100843	-80.85308181470133	26.140859757549308	0.5627689383909217	0.9227808386837986	1.3500836824891151	0.9605722308292781	0.010047205560372063	0.2218298798716266	0.7927083636188789	0.20729163638112186	0.07053084228797896	-48.68841481631106	0.21248997232839795	0.5102843144813387	0.011381392253297193	27.14157729178724	0.0	-3.891820298110627	5.300000000000345	
51	-1970.0026714340133	-1908.6800934779312	-61.32257795608203	-262.1442611099199	-1000.9820263151652	-563.955224968986	-81.59858108386007	50.91339719171073	0.5007036841566034	0.9209988631319276	1.3690030139013534	1.055691082375681	0.006713148340678655	0.25899776085370574	0.766272684742766	0.23372731525723497	0.06776344524806044	-55.60423849572343	0.02849414645245672	0.897929162793304	0.0053526197304216835	91.23125634486078	1.0	-3.891820298110627	5.300000000000367	
52	-1959.9510700906762	-1907.9887984635254	-51.9622716271507	-260.29771731155415	-1005.5510625765437	-560.6198858987391	-81.5201326766884	33.82339323592227	0.5623452923105522	1.0354207269461224	1.2001858519663808	0.8132105684770466	0.0024652964070882174	0.2265888352798347	0.772998985219494	0.2270010147805072	0.07981574298837554	-46.37417128191187	0.08120644867135819	0.8691623315515428	0.0018875264881225602	43.2577333903447	0.0	-3.891820298110627	5.300000000000374	
53	-1959.9510700906762	-1907.9887984635254	-51.9622716271507	-260.29771731155415	-1005.5510625765437	-560.6198858987391	-81.5201326766884	33.82339323592227	0.5623452923105522	1.0354207269461224	1.2001858519663808	0.8132105684770466	0.0024652964070882174	0.2265888352798347	0.772998985219494	0.2270010147805072	0.07981574298837554	-46.37417128191187	0.08120644867135819	0.8691623315515428	0.0018875264881225602	43.2577333903447	0.0	-3.891820298110627	5.300000000000374	
54	-1967.6942487598624	-1907.9625406493558	-59.73170811050656	-262.0767315140957	-1003.4485030549263	-562.2473637323257	-80.18994234800843	37.42875229155141	0.5422016250267818	0.9679171042682797	1.3273142748644076	0.7621001668037344	0.0025075063924096417	0.18741874413463597	0.7688613711100323	0.23113862888996906	0.059072517447107516	-54.32782687979174	0.013067373857083729	0.9743955880584291	0.010091619392762931	38.84830958822604	0.0	-3.891820298110627	5.300000000000352	
55	-1956.5051819441123	-1907.7236465916774	-48.78153535243489	-259.39410851405137	-1004.3217816262957	-563.9356833230465	-80.07207312828386	29.634738290414116	0.6431342242635455	0.9332899807525707	1.3021946185559792	0.893129875598683	0.010154239829581089	0.18891118419353048	0.7543458798461492	0.24565412015385196	0.09742920469881129	-43.36996986451355	0.033370179852404334	0.9145376019063487	0.004623974015209772	43.91745349649456	1.0	-3.891820298110627	5.3000000000003595	
56	-1958.0063322303727	-1907.594872635942	-50.41145959443074	-259.01720565527404	-1007.9109968137906	-560.2274250260166	-80.4392451408608	17.5384628132071	0.4954640379722618	0.980460764859097	1.332319806359086	0.7661461511017631	0.002120907797486775	0.27751042345746235	0.7490706119785584	0.25092938802144266	0.08735303957242949	-44.62568174354053	0.2797315214724977	0.2654689115255174	0.20958938219376763	29.720038078485924	1.0	-3.891820298110627	5.300000000000363	
